id,title,authors,arxiv_link,gs_year
59,Full-Scale Information Diffusion Prediction With Reinforced Recurrent Networks,Not Found,Not Found,2021
60,Be confident! towards trustworthy graph neural networks via confidence calibration,"Xiao Wang, Hongrui Liu, Chuan Shi, Cheng Yang",https://arxiv.org/abs/2109.14285v3,2021
61,Topic-aware heterogeneous graph neural network for link prediction,Not Found,Not Found,2021
62,Periodic weather-aware LSTM with event mechanism for parking behavior prediction,Not Found,Not Found,2021
63,From symbols to embeddings: A tale of two representations in computational social science,"Huimin Chen, Cheng Yang, Xuanming Zhang, Zhiyuan Liu, Maosong Sun, Jianbin Jin",https://arxiv.org/abs/2106.14198v1,2021
64,Text-graph enhanced knowledge graph representation learning,Not Found,Not Found,2021
65,Neural information diffusion prediction with topic-aware attention network,Not Found,Not Found,2021
66,Package recommendation with intra-and inter-package attention networks,Not Found,Not Found,2021
67,Treasures outside contexts: Improving event detection via global statistics,Not Found,Not Found,2021
68,基于异质信息网络的推荐系统研究综述,Not Found,Not Found,2018
69,Evaluating modules in graph contrastive learning,"Ganqu Cui, Yufeng Du, Cheng Yang, Jie Zhou, Liang Xu, Xing Zhou, Xingyi Cheng, Zhiyuan Liu",https://arxiv.org/abs/2106.08171v2,2021
70,Semantic-specific hierarchical alignment network for heterogeneous graph adaptation,Not Found,Not Found,2021
71,Tree-Capsule: Tree-Structured Capsule Network for Improving Relation Extraction,Not Found,Not Found,2021
72,The Basics of Network Embedding,Not Found,Not Found,2021
73,Network embedding for community-structured graphs,Not Found,Not Found,2021
74,Network Embedding for Graphs with Node Contents,Not Found,Not Found,2021
75,Network Embedding for Large-Scale Graphs,Not Found,Not Found,2021
76,Network Embedding for Information Diffusion Prediction,Not Found,Not Found,2021
77,Network Embedding for Heterogeneous Graphs,Not Found,Not Found,2021
78,Network Embedding for Social Relation Extraction,Not Found,Not Found,2021
79,Revisiting Attributed Network Embedding: A GCN-Based Perspective,Not Found,Not Found,2021
80,Network Embedding for Recommendation Systems on LBSNs,Not Found,Not Found,2021
81,Network Embedding for Graphs with Node Labels,Not Found,Not Found,2021
82,Network Embedding for Graphs with Node Attributes,Not Found,Not Found,2021
83,Network Embedding for General Graphs,Not Found,Not Found,2021
84,Future Directions of Network Embedding,Not Found,Not Found,2021
85,Graph neural networks: A review of methods and applications,"Jie Zhou, Ganqu Cui, Shengding Hu, Zhengyan Zhang, Cheng Yang, Zhiyuan Liu, Lifeng Wang, Changcheng Li, Maosong Sun",https://arxiv.org/abs/1812.08434v6,2020
86,Adaptive graph encoder for attributed graph embedding,"Ganqu Cui, Jie Zhou, Cheng Yang, Zhiyuan Liu",https://arxiv.org/abs/2007.01594v1,2020
87,Graph neural news recommendation with long-term and short-term interest modeling,"Linmei Hu, Chen Li, Chuan Shi, Cheng Yang, Chao Shao",https://arxiv.org/abs/1910.14025v2,2020
88,Graph neural news recommendation with unsupervised preference disentanglement,Not Found,Not Found,2020
89,Mixpoet: Diverse poetry generation via learning controllable mixed latent space,"Xiaoyuan Yi, Ruoyu Li, Cheng Yang, Wenhao Li, Maosong Sun",https://arxiv.org/abs/2003.06094v1,2020
90,PewLSTM: Periodic LSTM with Weather-Aware Gating Mechanism for Parking Behavior Prediction.,Not Found,Not Found,2020
91,Improving sequence modeling ability of recurrent neural networks via sememes,"Yujia Qin, Fanchao Qi, Sicong Ouyang, Zhiyuan Liu, Cheng Yang, Yasheng Wang, Qun Liu, Maosong Sun",https://arxiv.org/abs/1910.08910v2,2020
92,Cosine: compressive network embedding on large-scale information networks,"Zhengyan Zhang, Cheng Yang, Zhiyuan Liu, Maosong Sun, Zhichong Fang, Bo Zhang, Leyu Lin",https://arxiv.org/abs/1812.08972v1,2020
93,"KACC: A multi-task benchmark for knowledge abstraction, concretization and completion","Jie Zhou, Shengding Hu, Xin Lv, Cheng Yang, Zhiyuan Liu, Wei Xu, Jie Jiang, Juanzi Li, Maosong Sun",https://arxiv.org/abs/2004.13631v2,2020
94,Information diffusion prediction with latent factor disentanglement,"Haoran Wang, Cheng Yang",https://arxiv.org/abs/2012.08828v1,2020
95,Reinforced zero-shot cross-lingual neural headline generation,Not Found,Not Found,2020
96,GEAR: Graph-based Evidence Aggregating and Reasoning for Fact Verification,"Jie Zhou, Xu Han, Cheng Yang, Zhiyuan Liu, Lifeng Wang, Changcheng Li, Maosong Sun",https://arxiv.org/abs/1908.01843v1,2019
97,CED: Credible early detection of social media rumors,"Changhe Song, Cunchao Tu, Cheng Yang, Zhiyuan Liu, Maosong Sun",https://arxiv.org/abs/1811.04175v1,2019
98,Neural diffusion model for microscopic cascade study,Not Found,Not Found,2019
99,Sentiment-Controllable Chinese Poetry Generation.,Not Found,Not Found,2019
100,Improving distantly-supervised relation extraction with joint label embedding,Not Found,Not Found,2019
101,Jiuge: A human-machine collaborative chinese classical poetry generation system,Not Found,Not Found,2019
102,Stylistic chinese poetry generation via unsupervised style disentanglement,Not Found,Not Found,2018
103,Zero-shot cross-lingual neural headline generation,Not Found,Not Found,2018
104,Chinese LIWC lexicon expansion via hierarchical classification of word embeddings with sememe attention,Not Found,Not Found,2018
105,基于神经网络的集句诗自动生成,Not Found,Not Found,2018
106,A neural network approach to jointly modeling social networks and mobile trajectories,Not Found,Not Found,2017
107,Fast network embedding enhancement via high order proximity approximation.,Not Found,Not Found,2017
108,网络表示学习综述,Not Found,Not Found,2018
109,Real-time topic-aware influence maximization using preprocessing,"Wei Chen, Tian Lin, Cheng Yang",https://arxiv.org/abs/1403.0057v2,2016
110,Network representation learning with rich text information,Not Found,Not Found,2015
111,Comprehend deepwalk as matrix factorization,"Cheng Yang, Zhiyuan Liu",https://arxiv.org/abs/1501.00358v1,2015
