id,title,long_id,short_id,pub_year,citation_message
1,GEAR: Graph-based Evidence Aggregating and Reasoning for Fact Verification,OlLjVUcAAAAJ:ULOm3_A8WrAC,ULOm3_A8WrAC,2019,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:ULOm3_A8WrAC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2019/selected_pubs%2FULOm3_A8WrAC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
2,CED: Credible early detection of social media rumors,OlLjVUcAAAAJ:W7OEmFMy1HYC,W7OEmFMy1HYC,2019,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:W7OEmFMy1HYC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2019/selected_pubs%2FW7OEmFMy1HYC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
3,Neural diffusion model for microscopic cascade study,OlLjVUcAAAAJ:4TOpqqG69KYC,4TOpqqG69KYC,2019,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:4TOpqqG69KYC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2019/selected_pubs%2F4TOpqqG69KYC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
4,Sentiment-Controllable Chinese Poetry Generation.,OlLjVUcAAAAJ:_FxGoFyzp5QC,_FxGoFyzp5QC,2019,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:_FxGoFyzp5QC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2019/selected_pubs%2F_FxGoFyzp5QC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
5,Improving distantly-supervised relation extraction with joint label embedding,OlLjVUcAAAAJ:_kc_bZDykSQC,_kc_bZDykSQC,2019,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:_kc_bZDykSQC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2019/selected_pubs%2F_kc_bZDykSQC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
6,Jiuge: A human-machine collaborative chinese classical poetry generation system,OlLjVUcAAAAJ:3fE2CSJIrl8C,3fE2CSJIrl8C,2019,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:3fE2CSJIrl8C'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2019/selected_pubs%2F3fE2CSJIrl8C.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
