id,title,long_id,short_id,pub_year,citation_message
1,Stylistic chinese poetry generation via unsupervised style disentanglement,OlLjVUcAAAAJ:Y0pCki6q_DkC,Y0pCki6q_DkC,2018,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:Y0pCki6q_DkC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2018/selected_pubs%2FY0pCki6q_DkC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
2,Zero-shot cross-lingual neural headline generation,OlLjVUcAAAAJ:zYLM7Y9cAGgC,zYLM7Y9cAGgC,2018,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:zYLM7Y9cAGgC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2018/selected_pubs%2FzYLM7Y9cAGgC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
3,Chinese LIWC lexicon expansion via hierarchical classification of word embeddings with sememe attention,OlLjVUcAAAAJ:IjCSPb-OGe4C,IjCSPb-OGe4C,2018,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:IjCSPb-OGe4C'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2018/selected_pubs%2FIjCSPb-OGe4C.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
4,基于神经网络的集句诗自动生成,OlLjVUcAAAAJ:roLk4NBRz8UC,roLk4NBRz8UC,2018,"<a href='https://scholar.google.com/citations?view_op=view_citation&hl=zh-CN&user=OlLjVUcAAAAJ&citation_for_view=OlLjVUcAAAAJ:roLk4NBRz8UC'><img src=""https://img.shields.io/endpoint?url=https%3A%2F%2Fraw.githubusercontent.com%2Fyangchengbupt%2Fyangchengbupt.github.io%2Fgoogle-scholar-stats-2018/selected_pubs%2FroLk4NBRz8UC.json&logo=Google%20Scholar&labelColor=f6f6f6&color=9cf&style=flat&label=citations""></a>."
